time,A2022,time,B2052,time,C2047,,,
29.5,4.99466,29.5,4.99204,29.5,0.00765345,4.98438655,4.9871519,24.85789285
29.9999,4.99439,29.9999,4.99167,29.9999,0.00786031,4.98380969,4.9866375,24.85245229
30.4999,4.99448,30.4999,4.99163,30.4999,0.00849366,4.98313634,4.9861662,24.84674599
30.9999,4.99429,30.9999,4.99128,30.9999,0.00875984,4.98252016,4.9856734,24.84121823
31.5,4.99429,31.5,4.99116,31.5,0.00933638,4.98182362,4.9851383,24.83507973
31.9999,4.99375,31.9999,4.99051,31.9999,0.00936862,4.98114138,4.98458,24.8288977
32.4999,4.99353,32.4999,4.99022,32.4999,0.00968677,4.98053323,4.9840054,24.82300451
32.9999,4.99324,32.9999,4.98978,32.9999,0.00993131,4.97984869,4.9834547,24.81685036
33.5,4.99318,33.5,4.98959,33.5,0.0104599,4.9791301,4.982892,24.81046754
34,4.99299,34,4.98928,34,0.0107864,4.9784936,4.9823887,24.80479026
34.4999,4.99291,34.4999,4.9891,34.4999,0.0113167,4.9777833,4.981786,24.79825115
35,4.99273,35,4.98881,35,0.0116741,4.9771359,4.9811961,24.79208993
35.4999,4.99198,35.4999,4.98796,35.4999,0.0115928,4.9763672,4.9806131,24.78535967
36,4.99245,36,4.98834,36,0.0127113,4.9756287,4.9799341,24.77830303
36.4999,4.99139,36.4999,4.98715,36.4999,0.0122219,4.9749281,4.9793358,24.77183759
36.9999,4.99152,36.9999,4.98725,36.9999,0.0130851,4.9741649,4.9787088,24.76491856
37.5,4.9912,37.5,4.98674,37.5,0.0133116,4.9734284,4.9780907,24.75817767
38,4.99087,38,4.98634,38,0.0136491,4.9726909,4.9774517,24.75132877
38.4999,4.99063,38.4999,4.986,38.4999,0.014064,4.971936,4.9767988,24.74432512
38.9999,4.99045,38.9999,4.98573,38.9999,0.0145963,4.9711337,4.9761007,24.73686188
39.4999,4.9901,39.4999,4.98528,39.4999,0.0149148,4.9703652,4.9754324,24.72971606
39.9999,4.98977,39.9999,4.98479,39.9999,0.0152857,4.9695043,4.9747532,24.72205742
40.5,4.9895,40.5,4.98447,40.5,0.0157156,4.9687544,4.9740447,24.71480649
