time,A3277,time,B3137,time,C2997,time,D2857,time,E2717,
27.9999,0.373774,27.9999,0.376388,27.9999,0.380887,27.9999,0.391396,27.9999,0.373702,
28.5,0.375773,28.5,0.378297,28.5,0.382068,28.5,0.392949,28.5,0.375225,
28.9999,0.376098,28.9999,0.379021,28.9999,0.382697,28.9999,0.394032,28.9999,0.376226,
29.5,0.377157,29.5,0.38145,29.5,0.384867,29.5,0.395991,29.5,0.37745,
29.9999,0.377503,29.9999,0.382358,29.9999,0.38599,29.9999,0.396124,29.9999,0.379025,
30.4999,0.378966,30.4999,0.383128,30.4999,0.386796,30.4999,0.397626,30.4999,0.38048,
30.9999,0.379569,30.9999,0.385897,30.9999,0.388308,30.9999,0.398783,30.9999,0.380892,
31.5,0.38148,31.5,0.385534,31.5,0.389167,31.5,0.399812,31.5,0.383184,
31.9999,0.382697,31.9999,0.386875,31.9999,0.39015,31.9999,0.399906,31.9999,0.382721,
32.4999,0.382993,32.4999,0.388085,32.4999,0.391609,32.4999,0.401463,32.4999,0.384596,
32.9999,0.383816,32.9999,0.388428,32.9999,0.392813,32.9999,0.402397,32.9999,0.384968,
33.5,0.386075,33.5,0.389699,33.5,0.392915,33.5,0.403255,33.5,0.386003,
34,0.385856,34,0.391129,34,0.393973,34,0.404217,34,0.386348,
34.4999,0.386168,34.4999,0.391857,34.4999,0.395313,34.4999,0.404991,34.4999,0.387449,
35,0.387747,35,0.392211,35,0.395211,35,0.404805,35,0.388665,
35.4999,0.389074,35.4999,0.393489,35.4999,0.397136,35.4999,0.406913,35.4999,0.388785,
36,0.389477,36,0.39428,36,0.398507,36,0.406876,36,0.389373,
36.4999,0.389848,36.4999,0.394996,36.4999,0.398758,36.4999,0.408009,36.4999,0.390586,
36.9999,0.389867,36.9999,0.396029,36.9999,0.399166,36.9999,0.408128,36.9999,0.390854,
37.5,0.390892,37.5,0.397239,37.5,0.400144,37.5,0.40986,37.5,0.392604,
38,0.392226,38,0.398092,38,0.400807,38,0.410225,38,0.391819,
38.4999,0.392991,38.4999,0.399277,38.4999,0.401686,38.4999,0.410627,38.4999,0.393934,
38.9999,0.394062,38.9999,0.398753,38.9999,0.402635,38.9999,0.410295,38.9999,0.394635,
39.4999,0.395377,39.4999,0.400235,39.4999,0.402711,39.4999,0.411424,39.4999,0.395787,
39.9999,0.395662,39.9999,0.40058,39.9999,0.403808,39.9999,0.41313,39.9999,0.395395,
40.5,0.394801,40.5,0.402243,40.5,0.405075,40.5,0.413057,40.5,0.396656,
41,0.396216,41,0.402343,41,0.406117,41,0.414244,41,0.397771,
41.4999,0.396722,41.4999,0.402635,41.4999,0.404848,41.4999,0.414988,41.4999,0.397131,
42,0.397519,42,0.403301,42,0.406135,42,0.416033,42,0.398122,
42.5,0.398313,42.5,0.403558,42.5,0.407827,42.5,0.41507,42.5,0.397808,
42.9999,0.399527,42.9999,0.405226,42.9999,0.407612,42.9999,0.417104,42.9999,0.399169,
43.4999,0.400983,43.4999,0.405684,43.4999,0.409047,43.4999,0.416787,43.4999,0.399692,
43.9999,0.400636,43.9999,0.405937,43.9999,0.408291,43.9999,0.417297,43.9999,0.400527,
44.4999,0.401802,44.4999,0.406917,44.4999,0.410207,44.4999,0.418959,44.4999,0.400635,
44.9999,0.402472,44.9999,0.406455,44.9999,0.410319,44.9999,0.41966,44.9999,0.402199,
45.4999,0.403628,45.4999,0.407709,45.4999,0.410215,45.4999,0.419216,45.4999,0.401457,
45.9999,0.402399,45.9999,0.409173,45.9999,0.412025,45.9999,0.418596,45.9999,0.403004,
46.5,0.403505,46.5,0.407936,46.5,0.41295,46.5,0.420417,46.5,0.403319,
46.9999,0.403775,46.9999,0.410184,46.9999,0.412794,46.9999,0.420829,46.9999,0.403366,
47.4999,0.404446,47.4999,0.409929,47.4999,0.413787,47.4999,0.421365,47.4999,0.403997,
48,0.404566,48,0.411479,48,0.413295,48,0.422448,48,0.403658,
48.4999,0.405722,48.4999,0.411061,48.4999,0.414753,48.4999,0.423148,48.4999,0.405398,
49,0.405959,49,0.412075,49,0.415151,49,0.423114,49,0.405984,
49.5,0.406453,49.5,0.410487,49.5,0.416833,49.5,0.42367,49.5,0.40737,
50,0.406984,50,0.412444,50,0.417152,50,0.424351,50,0.406898,
50.4999,0.408316,50.4999,0.413273,50.4999,0.418252,50.4999,0.423848,50.4999,0.406915,
50.9999,0.408819,50.9999,0.413457,50.9999,0.417935,50.9999,0.425407,50.9999,0.408636,
51.5,0.409283,51.5,0.413715,51.5,0.416877,51.5,0.425594,51.5,0.409032,
51.9999,0.409734,51.9999,0.413774,51.9999,0.418569,51.9999,0.426087,51.9999,0.408774,
52.4999,0.409799,52.4999,0.415448,52.4999,0.418514,52.4999,0.427237,52.4999,0.409579,
53,0.411337,53,0.41663,53,0.418832,53,0.426433,53,0.410081,
53.4999,0.412565,53.4999,0.417276,53.4999,0.420799,53.4999,0.427975,53.4999,0.410728,
53.9999,0.411505,53.9999,0.416907,53.9999,0.421213,53.9999,0.427623,53.9999,0.41117,
54.5,0.411813,54.5,0.417097,54.5,0.420539,54.5,0.428689,54.5,0.411067,
55,0.413453,55,0.417564,55,0.421855,55,0.428289,55,0.411598,
55.4999,0.412932,55.4999,0.417835,55.4999,0.422793,55.4999,0.429728,55.4999,0.412306,
55.9999,0.414582,55.9999,0.418467,55.9999,0.422446,55.9999,0.429701,55.9999,0.413644,
56.5,0.414169,56.5,0.419147,56.5,0.422167,56.5,0.430182,56.5,0.413037,
56.9999,0.415266,56.9999,0.419689,56.9999,0.42489,56.9999,0.430762,56.9999,0.41382,
57.4999,0.416607,57.4999,0.420038,57.4999,0.424392,57.4999,0.431966,57.4999,0.415319,
58,0.416064,58,0.420521,58,0.424755,58,0.431776,58,0.414066,
58.4999,0.417293,58.4999,0.421532,58.4999,0.424672,58.4999,0.431562,58.4999,0.415403,
59,0.417055,59,0.421292,59,0.425669,59,0.43143,59,0.416285,
59.4999,0.417361,59.4999,0.422192,59.4999,0.425429,59.4999,0.433567,59.4999,0.41682,
59.9999,0.418025,59.9999,0.422736,59.9999,0.426267,59.9999,0.432403,59.9999,0.418216,
60.5,0.418804,60.5,0.423645,60.5,0.427185,60.5,0.434097,60.5,0.417558,
60.9999,0.418264,60.9999,0.423748,60.9999,0.427209,60.9999,0.434545,60.9999,0.417578,
61.4999,0.418389,61.4999,0.42386,61.4999,0.428941,61.4999,0.435148,61.4999,0.418236,
61.9999,0.419613,61.9999,0.425411,61.9999,0.428001,61.9999,0.435426,61.9999,0.418297,
62.5,0.420717,62.5,0.42444,62.5,0.429711,62.5,0.436506,62.5,0.419813,
63,0.420668,63,0.424352,63,0.429805,63,0.435527,63,0.418444,
63.5,0.420601,63.5,0.426055,63.5,0.430146,63.5,0.435826,63.5,0.419405,
63.9999,0.420967,63.9999,0.426052,63.9999,0.430139,63.9999,0.436809,63.9999,0.419998,
64.4999,0.422648,64.4999,0.42688,64.4999,0.430354,64.4999,0.438012,64.4999,0.420322,
64.9999,0.422195,64.9999,0.426885,64.9999,0.431287,64.9999,0.438362,64.9999,0.420877,
65.5,0.422112,65.5,0.425921,65.5,0.433486,65.5,0.437736,65.5,0.421787,
66,0.42323,66,0.427239,66,0.431811,66,0.438489,66,0.422797,
66.4999,0.424322,66.4999,0.427785,66.4999,0.433465,66.4999,0.438321,66.4999,0.423428,
66.9999,0.424773,66.9999,0.428501,66.9999,0.432877,66.9999,0.439111,66.9999,0.42283,
