
time,A3624,time,B1464,
85.4999,102.613,85.4999,40.2371,
85.9999,102.629,85.9999,40.2372,
86.5,102.646,86.5,40.2373,
87,102.663,87,40.2374,
87.5,102.679,87.5,40.2376,
87.9999,102.696,87.9999,40.2376,
88.4999,102.712,88.4999,40.2378,
88.9999,102.729,88.9999,40.2379,
89.4999,102.745,89.4999,40.238,
89.9999,102.762,89.9999,40.238,
90.4999,102.778,90.4999,40.2382,
90.9999,102.795,90.9999,40.2383,
91.4999,102.812,91.4999,40.2384,
91.9999,102.828,91.9999,40.2385,
92.5,102.845,92.5,40.2386,
93,102.861,93,40.2388,
93.4999,102.878,93.4999,40.2388,
93.9999,102.894,93.9999,40.2389,
94.4999,102.911,94.4999,40.239,
94.9999,102.928,94.9999,40.2391,
95.4999,102.944,95.4999,40.2392,
95.9999,102.961,95.9999,40.2393,
96.4999,102.977,96.4999,40.2394,
96.9999,102.994,96.9999,40.2395,
97.5,103.01,97.5,40.2395,
97.9999,103.027,97.9999,40.2395,
98.5,103.044,98.5,40.2397,
99,103.06,99,40.2398,
99.4999,103.077,99.4999,40.2399,
99.9999,103.093,99.9999,40.2399,
100.5,103.11,100.5,40.2401,
101,103.127,101,40.2403,
101.5,103.143,101.5,40.2403,
102,103.16,102,40.2404,
102.5,103.176,102.5,40.2404,
103,103.193,103,40.2404,
103.5,103.209,103.5,40.2405,
104,103.226,104,40.2406,
104.5,103.243,104.5,40.2407,
105,103.259,105,40.2408,
105.5,103.276,105.5,40.2407,
106,103.292,106,40.2409,
106.5,103.309,106.5,40.2409,
107,103.326,107,40.241,
107.5,103.342,107.5,40.2411,
108,103.359,108,40.2412,
108.5,103.375,108.5,40.2413,
109,103.392,109,40.2413,
109.5,103.409,109.5,40.2413,
110,103.425,110,40.2414,
110.5,103.442,110.5,40.2415,
111,103.458,111,40.2416,
111.5,103.475,111.5,40.2416,
112,103.492,112,40.2417,
112.5,103.508,112.5,40.2418,
113,103.525,113,40.2418,
113.5,103.541,113.5,40.2419,
114,103.558,114,40.242,
114.5,103.575,114.5,40.242,
115,103.591,115,40.2421,
115.5,103.608,115.5,40.2421,
116,103.625,116,40.2422,
116.5,103.641,116.5,40.2421,
117,103.658,117,40.2422,
117.5,103.674,117.5,40.2423,
118,103.691,118,40.2424,
118.5,103.708,118.5,40.2424,
119,103.724,119,40.2425,
119.5,103.741,119.5,40.2426,
120,103.757,120,40.2427,
120.5,103.774,120.5,40.2427,
121,103.791,121,40.2428,
121.5,103.807,121.5,40.2428,
122,103.824,122,40.2428,
122.5,103.841,122.5,40.2428,
123,103.857,123,40.2429,
123.5,103.874,123.5,40.2429,
124,103.89,124,40.243,
124.5,103.907,124.5,40.243,
125,103.924,125,40.2431,
125.5,103.94,125.5,40.2432,
126,103.957,126,40.2433,
126.5,103.973,126.5,40.2432,
127,103.99,127,40.2432,
127.5,104.007,127.5,40.2433,
128,104.023,128,40.2434,
128.5,104.04,128.5,40.2433,
129,104.057,129,40.2434,
129.5,104.073,129.5,40.2435,
130,104.09,130,40.2435,
130.5,104.107,130.5,40.2435,
131,104.123,131,40.2435,
131.5,104.14,131.5,40.2436,
132,104.156,132,40.2436,
132.5,104.173,132.5,40.2436,
133,104.19,133,40.2437,
133.5,104.206,133.5,40.2437,
134,104.223,134,40.2437,
134.5,104.24,134.5,40.2437,
135,104.256,135,40.2438,
135.5,104.273,135.5,40.2439,
136,104.289,136,40.2438,
136.5,104.306,136.5,40.2438,
137,104.323,137,40.2439,
