time,A2538,time,B2250,C1890,,,
211,74.8456,211,65.6863,52.305,13.3813,133.813,33.813
211.5,74.8632,211.5,65.704,52.3043,13.3997,133.997,33.997
212,74.8808,212,65.7217,52.3036,13.4181,134.181,34.181
212.5,74.8988,212.5,65.7399,52.3028,13.4371,134.371,34.371
213,74.9161,213,65.7573,52.3022,13.4551,134.551,34.551
213.5,74.9338,213.5,65.7751,52.3015,13.4736,134.736,34.736
214,74.9514,214,65.7929,52.301,13.4919,134.919,34.919
214.5,74.9691,214.5,65.8107,52.3001,13.5106,135.106,35.106
215,74.9868,215,65.8286,52.2994,13.5292,135.292,35.292
215.5,75.0044,215.5,65.8464,52.2987,13.5477,135.477,35.477
216,75.0221,216,65.8641,52.2979,13.5662,135.662,35.662
216.5,75.0398,216.5,65.882,52.2972,13.5848,135.848,35.848
217,75.0577,217,65.9,52.2964,13.6036,136.036,36.036
217.5,75.0753,217.5,65.9178,52.2957,13.6221,136.221,36.221
218,75.093,218,65.9357,52.2949,13.6408,136.408,36.408
218.5,75.1108,218.5,65.9536,52.2943,13.6593,136.593,36.593
219,75.1285,219,65.9713,52.2935,13.6778,136.778,36.778
219.5,75.146,219.5,65.989,52.293,13.696,136.96,36.96
220,75.164,220,66.0072,52.2921,13.7151,137.151,37.151
220.5,75.1816,220.5,66.0249,52.2914,13.7335,137.335,37.335
221,75.1994,221,66.0429,52.2905,13.7524,137.524,37.524
221.5,75.2171,221.5,66.0607,52.2899,13.7708,137.708,37.708
222,75.2347,222,66.0785,52.2894,13.7891,137.891,37.891
222.5,75.2524,222.5,66.0963,52.2885,13.8078,138.078,38.078
223,75.2701,223,66.1142,52.2877,13.8265,138.265,38.265
223.5,75.288,223.5,66.1322,52.2868,13.8454,138.454,38.454
224,75.3056,224,66.15,52.2861,13.8639,138.639,38.639
224.5,75.3232,224.5,66.1678,52.2854,13.8824,138.824,38.824
225,75.3411,225,66.1858,52.2845,13.9013,139.013,39.013
225.5,75.359,225.5,66.2039,52.2837,13.9202,139.202,39.202
226,75.3769,226,66.2219,52.2831,13.9388,139.388,39.388
226.5,75.3945,226.5,66.2397,52.2822,13.9575,139.575,39.575
227,75.4124,227,66.2578,52.2814,13.9764,139.764,39.764
227.5,75.4302,227.5,66.2757,52.2806,13.9951,139.951,39.951
228,75.448,228,66.2937,52.2797,14.014,140.14,40.14
228.5,75.4657,228.5,66.3115,52.2791,14.0324,140.324,40.324
229,75.4835,229,66.3294,52.2783,14.0511,140.511,40.511
229.5,75.5011,229.5,66.3472,52.2775,14.0697,140.697,40.697
230,75.519,230,66.3653,52.2767,14.0886,140.886,40.886
230.5,75.5369,230.5,66.3834,52.2758,14.1076,141.076,41.076
231,75.5547,231,66.4013,52.275,14.1263,141.263,41.263
231.5,75.5724,231.5,66.4192,52.2742,14.145,141.45,41.45
232,75.5904,232,66.4373,52.2734,14.1639,141.639,41.639
232.5,75.6081,232.5,66.4552,52.2727,14.1825,141.825,41.825
233,75.6259,233,66.4731,52.272,14.2011,142.011,42.011
233.5,75.6438,233.5,66.4912,52.2711,14.2201,142.201,42.201
234,75.6613,234,66.5089,52.2703,14.2386,142.386,42.386
234.5,75.6794,234.5,66.5271,52.2694,14.2577,142.577,42.577
235,75.6971,235,66.5449,52.2687,14.2762,142.762,42.762
235.5,75.7148,235.5,66.5629,52.2678,14.2951,142.951,42.951
236,75.7327,236,66.5809,52.267,14.3139,143.139,43.139
236.5,75.7506,236.5,66.599,52.2662,14.3328,143.328,43.328
237,75.7681,237,66.6166,52.2656,14.351,143.51,43.51
237.5,75.7863,237.5,66.6351,52.2646,14.3705,143.705,43.705
238,75.8039,238,66.6527,52.2638,14.3889,143.889,43.889
238.5,75.8217,238.5,66.6707,52.263,14.4077,144.077,44.077
239,75.8394,239,66.6885,52.2624,14.4261,144.261,44.261
239.5,75.8571,239.5,66.7064,52.2615,14.4449,144.449,44.449
240,75.875,240,66.7245,52.2606,14.4639,144.639,44.639
240.5,75.8929,240.5,66.7425,52.2598,14.4827,144.827,44.827
241,75.9105,241,66.7603,52.2591,14.5012,145.012,45.012
241.5,75.9284,241.5,66.7784,52.2583,14.5201,145.201,45.201
242,75.9462,242,66.7963,52.2575,14.5388,145.388,45.388
242.5,75.9642,242.5,66.8145,52.2566,14.5579,145.579,45.579
243,75.9819,243,66.8323,52.2558,14.5765,145.765,45.765
243.5,75.9998,243.5,66.8503,52.255,14.5953,145.953,45.953
244,76.0176,244,66.8684,52.2543,14.6141,146.141,46.141
244.5,76.0354,244.5,66.8863,52.2536,14.6327,146.327,46.327
245,76.053,245,66.9041,52.2527,14.6514,146.514,46.514
245.5,76.0707,245.5,66.9219,52.252,14.6699,146.699,46.699
246,76.0884,246,66.9398,52.2512,14.6886,146.886,46.886
246.5,76.1064,246.5,66.9579,52.2503,14.7076,147.076,47.076
247,76.1242,247,66.9758,52.2496,14.7262,147.262,47.262
247.5,76.1418,247.5,66.9936,52.2489,14.7447,147.447,47.447
248,76.1596,248,67.0115,52.2481,14.7634,147.634,47.634
248.5,76.1774,248.5,67.0295,52.2472,14.7823,147.823,47.823
249,76.1952,249,67.0475,52.2464,14.8011,148.011,48.011
249.5,76.2128,249.5,67.0653,52.2457,14.8196,148.196,48.196
250,76.2307,250,67.0833,52.2449,14.8384,148.384,48.384
250.5,76.2484,250.5,67.1012,52.2441,14.8571,148.571,48.571
251,76.2662,251,67.119,52.2434,14.8756,148.756,48.756
251.5,76.284,251.5,67.1371,52.2425,14.8946,148.946,48.946
252,76.3017,252,67.1549,52.2419,14.913,149.13,49.13
252.5,76.3194,252.5,67.1727,52.2411,14.9316,149.316,49.316
253,76.3372,253,67.1907,52.2404,14.9503,149.503,49.503
253.5,76.3552,253.5,67.2089,52.2394,14.9695,149.695,49.695
254,76.3728,254,67.2266,52.2388,14.9878,149.878,49.878
254.5,76.3907,254.5,67.2447,52.2379,15.0068,150.068,50.068
255,76.4084,255,67.2625,52.2371,15.0254,150.254,50.254
255.5,76.426,255.5,67.2803,52.2365,15.0438,150.438,50.438
256,76.4438,256,67.2983,52.2357,15.0626,150.626,50.626
256.5,76.4615,256.5,67.3161,52.235,15.0811,150.811,50.811
257,76.479,257,67.3338,52.2343,15.0995,150.995,50.995
257.5,76.4968,257.5,67.3517,52.2336,15.1181,151.181,51.181
258,76.5145,258,67.3695,52.2328,15.1367,151.367,51.367
258.5,76.5323,258.5,67.3875,52.2321,15.1554,151.554,51.554
259,76.5499,259,67.4052,52.2313,15.1739,151.739,51.739
259.5,76.5678,259.5,67.4233,52.2305,15.1928,151.928,51.928
260,76.5854,260,67.441,52.2299,15.2111,152.111,52.111
260.5,76.6031,260.5,67.4588,52.2292,15.2296,152.296,52.296
261,76.6208,261,67.4768,52.2284,15.2484,152.484,52.484
261.5,76.6385,261.5,67.4945,52.2278,15.2667,152.667,52.667
262,76.6561,262,67.5123,52.227,15.2853,152.853,52.853
262.5,76.6739,262.5,67.5302,52.2263,15.3039,153.039,53.039
263,76.6916,263,67.5481,52.2254,15.3227,153.227,53.227
263.5,76.7093,263.5,67.5659,52.2248,15.3411,153.411,53.411
264,76.7269,264,67.5836,52.2241,15.3595,153.595,53.595
264.5,76.7444,264.5,67.6013,52.2235,15.3778,153.778,53.778
265,76.7621,265,67.619,52.2228,15.3962,153.962,53.962
265.5,76.7799,265.5,67.637,52.222,15.415,154.15,54.15
266,76.7975,266,67.6548,52.2214,15.4334,154.334,54.334
266.5,76.8153,266.5,67.6727,52.2206,15.4521,154.521,54.521
267,76.8328,267,67.6903,52.2201,15.4702,154.702,54.702
267.5,76.8504,267.5,67.7081,52.2193,15.4888,154.888,54.888
268,76.8682,268,67.7261,52.2186,15.5075,155.075,55.075
268.5,76.8858,268.5,67.7438,52.2179,15.5259,155.259,55.259
269,76.9033,269,67.7614,52.2173,15.5441,155.441,55.441
269.5,76.9209,269.5,67.7791,52.2167,15.5624,155.624,55.624
270,76.9386,270,67.7969,52.2159,15.581,155.81,55.81
270.5,76.9562,270.5,67.8146,52.2153,15.5993,155.993,55.993
271,76.9738,271,67.8324,52.2146,15.6178,156.178,56.178
271.5,76.9913,271.5,67.8501,52.214,15.6361,156.361,56.361
272,77.0088,272,67.8677,52.2133,15.6544,156.544,56.544
272.5,77.0265,272.5,67.8856,52.2125,15.6731,156.731,56.731
273,77.0441,273,67.9032,52.2119,15.6913,156.913,56.913
273.5,77.0616,273.5,67.9209,52.2113,15.7096,157.096,57.096
274,77.0792,274,67.9386,52.2108,15.7278,157.278,57.278
274.5,77.0967,274.5,67.9563,52.2102,15.7461,157.461,57.461
275,77.1143,275,67.974,52.2094,15.7646,157.646,57.646
275.5,77.1319,275.5,67.9917,52.2088,15.7829,157.829,57.829
276,77.1494,276,68.0093,52.2082,15.8011,158.011,58.011
276.5,77.167,276.5,68.0271,52.2076,15.8195,158.195,58.195
277,77.1846,277,68.0447,52.207,15.8377,158.377,58.377
277.5,77.202,277.5,68.0622,52.2064,15.8558,158.558,58.558
278,77.2195,278,68.0799,52.2057,15.8742,158.742,58.742
278.5,77.237,278.5,68.0975,52.2052,15.8923,158.923,58.923
279,77.2546,279,68.1152,52.2046,15.9106,159.106,59.106
279.5,77.2721,279.5,68.1328,52.204,15.9288,159.288,59.288
280,77.2896,280,68.1504,52.2033,15.9471,159.471,59.471
280.5,77.3073,280.5,68.1683,52.2026,15.9657,159.657,59.657
281,77.3245,281,68.1856,52.2022,15.9834,159.834,59.834
281.5,77.342,281.5,68.2032,52.2016,16.0016,160.016,60.016
282,77.3595,282,68.2208,52.201,16.0198,160.198,60.198
282.5,77.3773,282.5,68.2387,52.2003,16.0384,160.384,60.384
283,77.3946,283,68.2561,52.1999,16.0562,160.562,60.562
283.5,77.4121,283.5,68.2737,52.1993,16.0744,160.744,60.744
284,77.4295,284,68.2913,52.1986,16.0927,160.927,60.927
284.5,77.4469,284.5,68.3088,52.1982,16.1106,161.106,61.106
285,77.4645,285,68.3264,52.1975,16.1289,161.289,61.289
285.5,77.482,285.5,68.3441,52.1969,16.1472,161.472,61.472
286,77.4995,286,68.3617,52.1964,16.1653,161.653,61.653
286.5,77.5168,286.5,68.3791,52.1959,16.1832,161.832,61.832
287,77.5343,287,68.3967,52.1954,16.2013,162.013,62.013
287.5,77.5516,287.5,68.4141,52.1947,16.2194,162.194,62.194
288,77.5692,288,68.4319,52.1942,16.2377,162.377,62.377
288.5,77.5868,288.5,68.4495,52.1936,16.2559,162.559,62.559
289,77.6041,289,68.4669,52.1932,16.2737,162.737,62.737
289.5,77.6213,289.5,68.4842,52.1926,16.2916,162.916,62.916
290,77.639,290,68.5021,52.192,16.3101,163.101,63.101
290.5,77.6565,290.5,68.5197,52.1914,16.3283,163.283,63.283
291,77.6737,291,68.5369,52.1911,16.3458,163.458,63.458
291.5,77.691,291.5,68.5543,52.1907,16.3636,163.636,63.636
292,77.7086,292,68.572,52.1899,16.3821,163.821,63.821
292.5,77.7259,292.5,68.5894,52.1894,16.4,164,64
293,77.7431,293,68.6068,52.1891,16.4177,164.177,64.177
293.5,77.7606,293.5,68.6244,52.1885,16.4359,164.359,64.359
294,77.778,294,68.6418,52.1879,16.4539,164.539,64.539
294.5,77.7955,294.5,68.6594,52.1875,16.4719,164.719,64.719
295,77.8129,295,68.6769,52.1868,16.4901,164.901,64.901
295.5,77.8302,295.5,68.6944,52.1864,16.508,165.08,65.08
296,77.8476,296,68.7118,52.1859,16.5259,165.259,65.259
296.5,77.8648,296.5,68.7291,52.1855,16.5436,165.436,65.436
297,77.8822,297,68.7467,52.1849,16.5618,165.618,65.618
297.5,77.8996,297.5,68.7641,52.1844,16.5797,165.797,65.797
298,77.9171,298,68.7817,52.1838,16.5979,165.979,65.979
298.5,77.9342,298.5,68.7989,52.1836,16.6153,166.153,66.153
299,77.9517,299,68.8166,52.183,16.6336,166.336,66.336
299.5,77.9688,299.5,68.8337,52.1826,16.6511,166.511,66.511
300,77.9865,300,68.8514,52.182,16.6694,166.694,66.694
300,77.9865,300,68.8514,52.182,16.6694,166.694,66.694
