time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
12,0.205854,12,0.205853,12,0.20585,12,0.205854,5.14635,,1.141612311,0.180318658,4.507966453,4.412378492,12,4.783819521,119.595488,37.5194  0.0314,,,24.95723106,0.20535,,0.002858333,4.783819521,191.3527808
12.4999,0.214276,12.4999,0.214275,12.4999,0.214276,12.4999,0.214274,5.35685,,1.141636491,0.187690216,4.692255407,4.599034933,12.4999,4.968066829,124.2016707,37.5194  0.033,,,24.95544092,0.21392,,0.00298,4.968066829,198.7226732
12.9999,0.222635,12.9999,0.222637,12.9999,0.222638,12.9999,0.222635,5.565875,,1.141597163,0.195020632,4.875515796,4.783819521,12.9999,5.152878955,128.8219739,38.0741  0.0347,,,24.95364351,0.2225462,,0.003101667,5.152878955,206.1151582
13.5,0.231019,13.5,0.231017,13.5,0.23102,13.5,0.231018,5.77545,,1.141496956,0.202381617,5.059540429,4.968066829,13.5,5.338584362,133.464609,38.074  0.0363,,,24.95184581,0.2311826,,0.003223333,5.338584362,213.5433745
13.9999,0.23947,13.9999,0.239468,13.9999,0.23947,13.9999,0.239469,5.986725,,1.141425278,0.209798227,5.244955683,5.152878955,13.9999,5.525046699,138.1261675,38.074  0.0379,,,24.95005717,0.239741,,0.003328333,5.525046699,221.001868
14.5,0.247976,14.5,0.247976,14.5,0.247977,14.5,0.247976,6.1994,,1.141378171,0.217260156,5.431503911,5.338584362,14.5,5.711690166,142.7922541,38.074  0.0396,,,24.94837868,0.248216,,0.00345,5.711690166,228.4676066
14.9999,0.256512,14.9999,0.256507,14.9999,0.25651,14.9999,0.25651,6.41275,,1.14139638,0.224733497,5.618337425,5.525046699,14.9999,5.898056522,147.451413,38.6287  0.0412,,,24.94660319,0.2566386,,0.00357,5.898056522,235.9222609
15.4999,0.265056,15.4999,0.265062,15.4999,0.265057,15.4999,0.265057,6.626425,,1.141426373,0.232215591,5.805389778,5.711690166,15.4999,6.083586896,152.0896724,38.6286  0.0428,,,24.94482812,0.265054,,0.003691667,6.083586896,243.3434758
15.9999,0.273548,15.9999,0.273558,15.9999,0.273559,15.9999,0.273545,6.838625,,1.141382171,0.239661182,5.991529547,5.898056522,15.9999,6.26723262,156.6808155,39.1833  0.0445,,,24.94305282,0.273496,,0.003811667,6.26723262,250.6893048
16.5,0.281987,16.5,0.281991,16.5,0.28202,16.5,0.281996,7.0499,,1.14132022,0.247078773,6.176969336,6.083586896,16.5,6.4493711,161.2342775,39.738  0.0461,,,24.94132791,0.2819564,,0.003933333,6.4493711,257.974844
16.9999,0.290321,16.9999,0.290404,16.9999,0.290426,16.9999,0.290403,7.260075,,1.141438863,0.254418357,6.360458922,6.26723262,16.9999,6.62871388,165.717847,40.2926  0.0477,,,24.939583,0.290385,,0.004055,6.62871388,265.1485552
17.4999,0.298489,17.4999,0.298626,17.4999,0.298636,17.4999,0.298545,7.463625,,1.141231832,0.261598907,6.539972675,6.4493711,17.4999,6.801311888,170.0327972,40.2926  0.0493,,,24.93786945,0.2987354,,0.004178333,6.801311888,272.0524755
18,0.306462,18,0.306523,18,0.306795,18,0.30641,7.66025,,1.139903996,0.268803339,6.720083468,6.62871388,18,6.965665872,174.1416468,40.8472  0.051,,,24.93621843,0.3066402,,0.004305,6.965665872,278.6266349
18.4999,0.313836,18.4999,0.313934,18.4999,0.313893,18.4999,0.314033,7.850825,,1.138734742,0.275773618,6.894340456,6.801311888,18.4999,7.120577576,178.0144394,40.8472  0.0526,,,24.93463808,0.314287,,0.004453333,7.120577576,284.823103
18.9999,0.321078,18.9999,0.320913,18.9999,0.320877,18.9999,0.320873,8.021825,,1.137710193,0.282034038,7.050850952,6.965665872,18.9999,7.262113526,181.5528382,40.8472  0.0543,,,24.9332224,0.3214036,,0.004605,7.262113526,290.484541
19.4999,0.326625,19.4999,0.327188,19.4999,0.327266,19.4999,0.326757,8.168925,,1.134984567,0.287895544,7.197388612,7.120577576,19.4999,7.39423158,184.8557895,40.8472  0.0559,,,24.93173057,0.3277762,,0.004763333,7.39423158,295.7692632
19.9999,0.332359,19.9999,0.332588,19.9999,0.332812,19.9999,0.33242,8.3105,,1.132262315,0.293589211,7.339730285,7.262113526,19.9999,7.510409476,187.7602369,41.4018  0.0575,,,24.93043306,0.333637,,0.004946667,7.510409476,300.416379
20.4999,0.337351,20.4999,0.337438,20.4999,0.337338,20.4999,0.337218,8.43045,,1.130013778,0.29841937,7.460484258,7.39423158,20.4999,7.612595137,190.3148784,41.4018  0.0591,,,24.9287733,0.3393214,,0.005135,7.612595137,304.5038055
20.9999,0.340978,20.9999,0.341303,20.9999,0.341648,20.9999,0.341123,8.528075,,1.125176327,0.303172927,7.579323165,7.510409476,20.9999,7.700270634,192.5067658,41.4018  0.0608,,,24.9270067,0.3440758,,0.005331667,7.700270634,308.0108254
21.4999,0.344376,21.4999,0.34518,21.4999,0.344931,21.4999,0.344553,8.613825,,1.124212002,0.306484008,7.662100198,7.612595137,21.4999,7.783896679,194.597417,41.4018  0.0624,,,24.92487335,0.3489552,,0.005548333,7.783896679,311.3558672
21.9999,0.347828,21.9999,0.347549,21.9999,0.347718,21.9999,0.34755,8.68875,,1.121349985,0.309938917,7.748472929,7.700270634,21.9999,7.859826587,196.4956647,41.4018  0.064,,,24.92252171,0.3526488,,0.00577,7.859826587,314.3930635
22.5,0.350333,22.5,0.350525,22.5,0.351044,22.5,0.350184,8.7546,,1.120777271,0.31244745,7.811186243,7.783896679,22.5,7.929243192,198.2310798,41.9564  0.0657,,,24.91976529,0.3561886,,0.005995,7.929243192,317.1697277
