time,A3624,
78.9999,102.398,
79.4999,102.414,
79.9999,102.431,
80.5,102.447,
80.9999,102.464,
81.4999,102.48,
81.9999,102.497,
82.4999,102.514,
82.9999,102.53,
83.5,102.547,
83.9999,102.563,
84.4999,102.58,
84.9999,102.596,
85.4999,102.613,
85.9999,102.629,
86.5,102.646,
87,102.663,
87.5,102.679,
87.9999,102.696,
88.4999,102.712,
88.9999,102.729,
89.4999,102.745,
89.9999,102.762,
90.4999,102.778,
90.9999,102.795,
91.4999,102.812,
91.9999,102.828,
92.5,102.845,
93,102.861,
93.4999,102.878,
93.9999,102.894,
94.4999,102.911,
94.9999,102.928,
95.4999,102.944,
95.9999,102.961,
96.4999,102.977,
96.9999,102.994,
97.5,103.01,
97.9999,103.027,
98.5,103.044,
99,103.06,
99.4999,103.077,
99.9999,103.093,
100.5,103.11,
101,103.127,
101.5,103.143,
102,103.16,
102.5,103.176,
103,103.193,
103.5,103.209,
104,103.226,
104.5,103.243,
105,103.259,
105.5,103.276,
106,103.292,
106.5,103.309,
107,103.326,
107.5,103.342,
108,103.359,
108.5,103.375,
109,103.392,
109.5,103.409,
110,103.425,
110.5,103.442,
111,103.458,
111.5,103.475,
112,103.492,
112.5,103.508,
113,103.525,
113.5,103.541,
114,103.558,
114.5,103.575,
115,103.591,
115.5,103.608,
116,103.625,
116.5,103.641,
117,103.658,
117.5,103.674,
118,103.691,
118.5,103.708,
119,103.724,
119.5,103.741,
120,103.757,
120.5,103.774,
121,103.791,
121.5,103.807,
122,103.824,
122.5,103.841,
123,103.857,
123.5,103.874,
124,103.89,
124.5,103.907,
125,103.924,
125.5,103.94,
126,103.957,
126.5,103.973,
127,103.99,
127.5,104.007,
128,104.023,
128.5,104.04,
129,104.057,
129.5,104.073,
130,104.09,
130.5,104.107,
131,104.123,
131.5,104.14,
132,104.156,
132.5,104.173,
133,104.19,
133.5,104.206,
134,104.223,
134.5,104.24,
135,104.256,
135.5,104.273,
136,104.289,
136.5,104.306,
137,104.323,
137.5,104.339,
138,104.356,
138.5,104.373,
139,104.389,
139.5,104.406,
140,104.423,
140.5,104.439,
141,104.456,
141.5,104.473,
142,104.489,
142.5,104.506,
143,104.523,
143.5,104.539,
144,104.556,
144.5,104.572,
145,104.589,
145.5,104.606,
146,104.622,
146.5,104.639,
147,104.656,
147.5,104.672,
148,104.689,
148.5,104.706,
149,104.722,
149.5,104.739,
150,104.756,
150.5,104.773,
151,104.789,
151.5,104.806,
152,104.822,
152.5,104.839,
153,104.856,
153.5,104.873,
154,104.889,
154.5,104.906,
155,104.923,
155.5,104.939,
156,104.956,
156.5,104.973,
157,104.989,
157.5,105.006,
158,105.023,
158.5,105.04,
159,105.056,
159.5,105.073,
160,105.09,
160.5,105.106,
161,105.123,
161.5,105.14,
162,105.156,
162.5,105.173,
163,105.19,
163.5,105.206,
164,105.223,
164.5,105.24,
165,105.257,
165.5,105.274,
166,105.29,
166.5,105.307,
167,105.324,
167.5,105.34,
168,105.357,
168.5,105.374,
169,105.391,
169.5,105.407,
170,105.424,
170.5,105.441,
171,105.458,
171.5,105.475,
172,105.491,
172.5,105.508,
173,105.525,
173.5,105.542,
174,105.559,
174.5,105.575,
175,105.592,
175.5,105.609,
176,105.626,
176.5,105.643,
177,105.66,
177.5,105.676,
178,105.693,
178.5,105.71,
179,105.727,
179.5,105.744,
180,105.761,
180.5,105.777,
181,105.794,
181.5,105.811,
182,105.828,
182.5,105.845,
183,105.862,
183.5,105.879,
184,105.896,
184.5,105.913,
185,105.93,
185.5,105.947,
186,105.963,
186.5,105.98,
187,105.997,
187.5,106.014,
188,106.031,
188.5,106.048,
189,106.065,
189.5,106.082,
190,106.099,
190.5,106.116,
191,106.133,
191.5,106.15,
192,106.167,
192.5,106.184,
193,106.201,
193.5,106.218,
194,106.235,
194.5,106.252,
195,106.269,
195.5,106.286,
196,106.303,
196.5,106.32,
197,106.337,
197.5,106.354,
198,106.371,
198.5,106.389,
199,106.406,
199.5,106.423,
200,106.44,
200.5,106.457,
201,106.474,
201.5,106.491,
202,106.508,
202.5,106.525,
203,106.542,
203.5,106.559,
204,106.577,
204.5,106.594,
205,106.611,
205.5,106.628,
206,106.645,
206.5,106.662,
207,106.679,
207.5,106.696,
208,106.714,
208.5,106.731,
209,106.748,
209.5,106.765,
210,106.782,
210.5,106.799,
211,106.817,
211.5,106.834,
212,106.851,
212.5,106.868,
213,106.885,
213.5,106.903,
214,106.92,
214.5,106.937,
215,106.954,
215.5,106.971,
216,106.989,
216.5,107.006,
217,107.023,
217.5,107.04,
218,107.058,
218.5,107.075,
219,107.092,
219.5,107.109,
220,107.127,
220.5,107.144,
221,107.161,
221.5,107.178,
222,107.195,
222.5,107.213,
223,107.23,
223.5,107.247,
224,107.264,
224.5,107.282,
225,107.299,
225.5,107.316,
226,107.334,
226.5,107.351,
227,107.368,
227.5,107.385,
228,107.403,
228.5,107.42,
229,107.437,
229.5,107.454,
230,107.472,
230.5,107.489,
231,107.506,
231.5,107.524,
232,107.541,
232.5,107.558,
233,107.575,
233.5,107.593,
234,107.61,
234.5,107.627,
235,107.645,
235.5,107.662,
236,107.679,
236.5,107.696,
237,107.714,
237.5,107.731,
238,107.748,
238.5,107.766,
239,107.783,
239.5,107.8,
240,107.817,
240.5,107.835,
241,107.852,
241.5,107.869,
242,107.886,
242.5,107.904,
243,107.921,
243.5,107.938,
244,107.956,
244.5,107.973,
245,107.99,
245.5,108.007,
246,108.025,
246.5,108.042,
247,108.059,
247.5,108.076,
248,108.094,
248.5,108.111,
249,108.128,
249.5,108.145,
250,108.163,
250.5,108.18,
251,108.197,
251.5,108.215,
252,108.232,
252.5,108.249,
253,108.266,
253.5,108.284,
254,108.301,
254.5,108.318,
255,108.335,
255.5,108.352,
256,108.37,
256.5,108.387,
257,108.404,
257.5,108.421,
258,108.439,
258.5,108.456,
259,108.473,
259.5,108.49,
260,108.508,
260.5,108.525,
261,108.542,
261.5,108.559,
262,108.577,
262.5,108.594,
263,108.611,
263.5,108.628,
264,108.645,
264.5,108.662,
265,108.68,
265.5,108.697,
266,108.714,
266.5,108.731,
267,108.749,
267.5,108.766,
268,108.783,
268.5,108.8,
269,108.817,
269.5,108.835,
270,108.852,
270.5,108.869,
271,108.886,
271.5,108.903,
272,108.92,
272.5,108.938,
273,108.955,
273.5,108.972,
274,108.989,
274.5,109.006,
275,109.023,
275.5,109.04,
276,109.058,
276.5,109.075,
277,109.092,
277.5,109.109,
278,109.126,
278.5,109.143,
279,109.16,
279.5,109.177,
280,109.195,
280.5,109.212,
281,109.229,
281.5,109.246,
282,109.263,
282.5,109.28,
283,109.297,
283.5,109.315,
284,109.332,
284.5,109.349,
285,109.366,
285.5,109.383,
286,109.4,
286.5,109.417,
287,109.434,
287.5,109.451,
288,109.468,
288.5,109.486,
289,109.503,
289.5,109.52,
290,109.537,
290.5,109.554,
291,109.571,
291.5,109.588,
292,109.605,
292.5,109.622,
293,109.639,
293.5,109.656,
294,109.673,
294.5,109.69,
295,109.707,
295.5,109.724,
296,109.741,
296.5,109.759,
297,109.776,
297.5,109.793,
298,109.81,
298.5,109.827,
299,109.844,
299.5,109.861,
300,109.878,
300,109.878,
