time,A3624,
0,100,
0.499982,100.012,
0.999946,100.024,
1.49989,100.036,
1.99996,100.048,
2.49987,100.059,
2.99991,100.071,
3.49993,100.083,
3.99993,100.095,
4.49991,100.107,
4.99988,100.119,
5.49997,100.131,
5.9999,100.143,
6.49995,100.155,
6.99999,100.167,
7.49987,100.178,
7.99987,100.19,
8.49999,100.202,
8.99996,100.214,
9.49991,100.226,
9.99998,100.238,
10.4999,100.25,
10.9999,100.262,
11.5,100.274,
12,100.286,
12.4999,100.298,
12.9999,100.31,
13.5,100.322,
13.9999,100.333,
14.5,100.345,
14.9999,100.357,
15.4999,100.369,
15.9999,100.381,
16.5,100.393,
16.9999,100.405,
17.4999,100.417,
18,100.429,
18.4999,100.442,
18.9999,100.455,
19.4999,100.468,
19.9999,100.482,
20.4999,100.496,
20.9999,100.51,
21.4999,100.525,
21.9999,100.54,
22.5,100.555,
23,100.57,
23.4999,100.586,
24,100.601,
24.4999,100.617,
25,100.633,
25.4999,100.648,
26,100.664,
26.4999,100.68,
27,100.696,
27.4999,100.712,
27.9999,100.727,
28.5,100.743,
28.9999,100.759,
29.5,100.775,
29.9999,100.791,
30.4999,100.808,
30.9999,100.824,
31.5,100.84,
31.9999,100.856,
32.4999,100.872,
32.9999,100.888,
33.5,100.904,
34,100.92,
34.4999,100.937,
35,100.953,
35.4999,100.969,
36,100.985,
36.4999,101.001,
36.9999,101.018,
37.5,101.034,
38,101.05,
38.4999,101.066,
38.9999,101.083,
39.4999,101.099,
39.9999,101.115,
40.5,101.132,
41,101.148,
41.4999,101.164,
42,101.18,
42.5,101.197,
42.9999,101.213,
43.4999,101.229,
43.9999,101.246,
44.4999,101.262,
44.9999,101.278,
45.4999,101.295,
45.9999,101.311,
46.5,101.328,
46.9999,101.344,
47.4999,101.36,
48,101.377,
48.4999,101.393,
49,101.41,
49.5,101.426,
50,101.442,
50.4999,101.459,
50.9999,101.475,
51.5,101.491,
51.9999,101.508,
52.4999,101.524,
53,101.541,
53.4999,101.557,
53.9999,101.573,
54.5,101.59,
55,101.606,
55.4999,101.623,
55.9999,101.639,
56.5,101.656,
56.9999,101.672,
57.4999,101.688,
58,101.705,
58.4999,101.721,
59,101.738,
59.4999,101.754,
59.9999,101.771,
60.5,101.787,
60.9999,101.804,
61.4999,101.82,
61.9999,101.837,
62.5,101.853,
63,101.87,
63.5,101.886,
63.9999,101.903,
64.4999,101.919,
64.9999,101.936,
65.5,101.952,
66,101.969,
66.4999,101.985,
66.9999,102.002,
67.4999,102.018,
68,102.034,
68.5,102.051,
68.9999,102.068,
69.4999,102.084,
69.9999,102.1,
70.5,102.117,
71,102.133,
71.5,102.15,
71.9999,102.166,
72.5,102.183,
72.9999,102.199,
73.4999,102.216,
73.9999,102.233,
74.5,102.249,
74.9999,102.266,
75.5,102.282,
76,102.299,
76.5,102.315,
76.9999,102.332,
77.4999,102.348,
77.9999,102.365,
78.5,102.381,
